"계열","세부 분류","속성·테마","에셋 형식","원본 팩","위치","에셋 이름","분류 근거","확인 사항","게임 내 이름"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_04","이름: NS_Trail_04","","칼날의 흔적"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_05","이름: NS_Trail_05","","칼날의 잔상"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_06","이름: NS_Trail_06","","칼날의 잔향"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_07","이름: NS_Trail_07","","베기의 흔적"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_08","이름: NS_Trail_08","","베기의 잔상"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_09","이름: NS_Trail_09","","베기의 잔향"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_10","이름: NS_Trail_10","","검무의 흔적"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_11","이름: NS_Trail_11","","검무의 잔상"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_12","이름: NS_Trail_12","","검무의 잔향"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_13","이름: NS_Trail_13","","검기의 흔적"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_14","이름: NS_Trail_14","","검기의 잔상"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_15","이름: NS_Trail_15","","검기의 잔향"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_16","이름: NS_Trail_16","","무인의 검흔"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_17","이름: NS_Trail_17","","검사의 잔상"
"근접/Slash","무기 Trail","미지정","NiagaraSystem","SwordTrailVFX","/Game/SwordTrailVFX/VFX","NS_Trail_18","이름: NS_Trail_18","","검객의 잔향"
"근접/Slash","무기 Trail","반투명","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Translucent_Wave/Trail","P_TranslucentWave01","유형 폴더: Translucent_Wave/Trail","","아른거리는 검흔"
"근접/Slash","무기 Trail","반투명","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Translucent_Wave/Trail","P_TranslucentWave02","유형 폴더: Translucent_Wave/Trail","","희미한 검흔"
"근접/Slash","무기 Trail","반투명","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Translucent_Wave/Trail","NS_TranslucentWave01","유형 폴더: Translucent_Wave/Trail","","아른거리는 검흔"
"근접/Slash","무기 Trail","반투명","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Translucent_Wave/Trail","NS_TranslucentWave02","유형 폴더: Translucent_Wave/Trail","","희미한 검흔"
"근접/Slash","무기 Trail","부식","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Corrosion/SwordTrail","P_Corrosion","유형 폴더: Corrosion/SwordTrail","","침식의 검흔"
"근접/Slash","무기 Trail","부식","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Corrosion/Trail","NS_Corrosion","유형 폴더: Corrosion/Trail","","침식의 검흔"
"근접/Slash","무기 Trail","불사조","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Phoenix/Trail","P_PhoenixTrail","유형 폴더: Phoenix/Trail","","불사조의 검흔"
"근접/Slash","무기 Trail","불사조","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Phoenix/Trail","P_SpeedLines","유형 폴더: Phoenix/Trail","","질주의 흔적"
"근접/Slash","무기 Trail","불사조","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Phoenix/Trail","NS_PhoenixTrail","유형 폴더: Phoenix/Trail","","불사조의 검흔"
"근접/Slash","무기 Trail","속도","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Speed/Sword_Trail","P_SpeedTrail","유형 폴더: Speed/Sword_Trail","","질풍의 검흔"
"근접/Slash","무기 Trail","속도","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Speed/Sword_Trail","P_SpeedTrail_Add","유형 폴더: Speed/Sword_Trail","","질풍 검흔의 잔광"
"근접/Slash","무기 Trail","속도","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Speed/Trail","NS_SpeedTrail","유형 폴더: Speed/Trail","","질풍의 검흔"
"근접/Slash","무기 Trail","암흑","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Dark/Sword_Trail","P_DarkTrail","유형 폴더: Dark/Sword_Trail","","어둠의 검흔"
"근접/Slash","무기 Trail","암흑","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Dark/Sword","NS_DarkTrail","유형 폴더: Dark/Sword","","어둠의 검흔"
"근접/Slash","무기 Trail","영혼","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Soul/Sword_Trail","P_SoulTwiTrail","유형 폴더: Soul/Sword_Trail","","영혼의 검흔"
"근접/Slash","무기 Trail","영혼","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Soul/Trail","NS_SoulTwiTrail","유형 폴더: Soul/Trail","","영혼의 검흔"
"근접/Slash","무기 Trail","원소 혼합","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Elemental/Sword_Trail","P_Elemental_Inner","유형 폴더: Elemental/Sword_Trail","","원소의 검심"
"근접/Slash","무기 Trail","원소 혼합","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Elemental/Sword_Trail","P_Elemental_Main","유형 폴더: Elemental/Sword_Trail","","원소의 검흔"
"근접/Slash","무기 Trail","원소 혼합","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Elemental/Sword_Trail","P_Elemental_Outer","유형 폴더: Elemental/Sword_Trail","","원소 검흔의 잔향"
"근접/Slash","무기 Trail","원소 혼합","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Elemental/Trail","NS_Elemental_Main","유형 폴더: Elemental/Trail","","원소의 검흔"
"근접/Slash","무기 Trail","원소 혼합","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Elemental/Trail","NS_Elemental_Outer","유형 폴더: Elemental/Trail","","원소 검흔의 잔향"
"근접/Slash","무기 Trail","잉크","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Ink/Sword_Trail","P_InkShadow","유형 폴더: Ink/Sword_Trail","","먹빛 잔영"
"근접/Slash","무기 Trail","잉크","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Ink/Sword_Trail","P_InkTrail","유형 폴더: Ink/Sword_Trail","","먹빛 검흔"
"근접/Slash","무기 Trail","잉크","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Ink/Trail","NS_InkShadow","유형 폴더: Ink/Trail","","먹빛 잔영"
"근접/Slash","무기 Trail","잉크","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Ink/Trail","NS_InkTrail","유형 폴더: Ink/Trail","","먹빛 검흔"
"근접/Slash","무기 Trail","파동","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Wave/Sword_Trail","P_WaveSmallTrail","유형 폴더: Wave/Sword_Trail","","잔물결의 검흔"
"근접/Slash","무기 Trail","파동","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Wave/Sword_Trail","P_WaveTrail","유형 폴더: Wave/Sword_Trail","","파동의 검흔"
"근접/Slash","무기 Trail","파동","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Wave/Trail","NS_WaveTrail","유형 폴더: Wave/Trail","","파동의 검흔"
"근접/Slash","무기 Trail","Strong","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Strong/Sword_Trail","P_Strong","유형 폴더: Strong/Sword_Trail","","강격의 검흔"
"근접/Slash","무기 Trail","Strong","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Strong/Trail","NS_Strong","유형 폴더: Strong/Trail","","강격의 검흔"
"근접/Slash","무기 Trail","Whisp","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Whisp/Trail","M_Whisp01","유형 폴더: Whisp/Trail","M 접두지만 ParticleSystem","혼불의 검흔"
"근접/Slash","무기 Trail","Whisp","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Whisp/Trail","NS_Whisp","유형 폴더: Whisp/Trail","","혼불의 검흔"
"근접/Slash","무기 Trail 연동","마법","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Magic","BP_MagicAnimTrails","유형 폴더: Magic","애니메이션 알림 BP; Niagara 호출용","마력의 검흔"
"근접/Slash","무기 Trail 연동","무지개/광채","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/RainbowFlare","BP_RainbowAnimTrails","유형 폴더: RainbowFlare","애니메이션 알림 BP; Niagara 호출용","찬란한 검흔"
"근접/Slash","무기 Trail 연동","반투명","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Translucent_Wave","BP_Tran01AnimTrails","유형 폴더: Translucent_Wave","애니메이션 알림 BP; Niagara 호출용","아른거리는 검흔"
"근접/Slash","무기 Trail 연동","반투명","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Translucent_Wave","BP_Tran02AnimTrails","유형 폴더: Translucent_Wave","애니메이션 알림 BP; Niagara 호출용","희미한 검흔"
"근접/Slash","무기 Trail 연동","부식","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Corrosion","BP_CorrosionAnimTrails","유형 폴더: Corrosion","애니메이션 알림 BP; Niagara 호출용","침식의 검흔"
"근접/Slash","무기 Trail 연동","불사조","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Phoenix","BP_PhoenixAnimTrails","유형 폴더: Phoenix","애니메이션 알림 BP; Niagara 호출용","불사조의 검흔"
"근접/Slash","무기 Trail 연동","속도","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Speed","BP_SpeedAnimTrails","유형 폴더: Speed","애니메이션 알림 BP; Niagara 호출용","질풍의 검흔"
"근접/Slash","무기 Trail 연동","암흑","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Dark","BP_DarkAnimTrails","유형 폴더: Dark","애니메이션 알림 BP; Niagara 호출용","어둠의 검흔"
"근접/Slash","무기 Trail 연동","영혼","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Soul","BP_SoulAnimTrails","유형 폴더: Soul","애니메이션 알림 BP; Niagara 호출용","영혼의 검흔"
"근접/Slash","무기 Trail 연동","원소 혼합","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Elemental","BP_ElementalAnimTrails","유형 폴더: Elemental","애니메이션 알림 BP; Niagara 호출용","원소의 검흔"
"근접/Slash","무기 Trail 연동","잉크","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Ink","BP_InkAnimTrails","유형 폴더: Ink","애니메이션 알림 BP; Niagara 호출용","먹빛 검흔"
"근접/Slash","무기 Trail 연동","파동","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Wave","BP_WaveAnimTrails","유형 폴더: Wave","애니메이션 알림 BP; Niagara 호출용","파동의 검흔"
"근접/Slash","무기 Trail 연동","Strong","Blueprint","TrailPack","/Game/TrailPack/Particles/Niagara/Strong","BP_StrongAnimTrails","유형 폴더: Strong","애니메이션 알림 BP; Niagara 호출용","강격의 검흔"
"근접/Slash","손/무기 부착 효과","암흑","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Dark/Hand_Spark","P_DarkSword","유형 폴더: Dark/Hand_Spark","","어둠의 검기"
"근접/Slash","손/무기 부착 효과","암흑","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Dark/Hand","NS_DarkSword","유형 폴더: Dark/Hand","","어둠의 검기"
"근접/Slash","오라","기본","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Basic","NS_AuraFX_Basic","이름: NS_AuraFX_Basic; 테마 폴더: Basic","","기운"
"근접/Slash","오라","라이트세이버","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/LightSaber","NS_AuraFX_Lightsaber","이름: NS_AuraFX_Lightsaber; 테마 폴더: LightSaber","","광휘 기운"
"근접/Slash","오라","매트릭스","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Matrix","NS_AuraFX_Matrix","이름: NS_AuraFX_Matrix; 테마 폴더: Matrix","","문자 기운"
"근접/Slash","오라","모래","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Sand","NS_AuraFX_Sand","이름: NS_AuraFX_Sand; 테마 폴더: Sand","","모래 기운"
"근접/Slash","오라","물","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Water","NS_AuraFX_Water","이름: NS_AuraFX_Water; 테마 폴더: Water","","물결 기운"
"근접/Slash","오라","바람","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Wind","NS_AuraFX_Wind","이름: NS_AuraFX_Wind; 테마 폴더: Wind","","바람 기운"
"근접/Slash","오라","번개","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Lightning","NS_AuraFX_Lightning","이름: NS_AuraFX_Lightning; 테마 폴더: Lightning","","뇌전 기운"
"근접/Slash","오라","사이버","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Cyberpunk","NS_AuraFX_CyberPunk","이름: NS_AuraFX_CyberPunk; 테마 폴더: Cyberpunk","","전광 기운"
"근접/Slash","오라","신비","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Mystic","NS_AuraFX_Mystic","이름: NS_AuraFX_Mystic; 테마 폴더: Mystic","","신비 기운"
"근접/Slash","오라","암흑","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Dark","NS_AuraFX_Dark","이름: NS_AuraFX_Dark; 테마 폴더: Dark","","어둠 기운"
"근접/Slash","오라","얼음","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Ice","NS_AuraFX_Ice","이름: NS_AuraFX_Ice; 테마 폴더: Ice","","서리 기운"
"근접/Slash","오라","영혼","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Soul/Aura","P_SoulAura","유형 폴더: Soul/Aura","","영혼의 기운"
"근접/Slash","오라","영혼","NiagaraSystem","TrailPack","/Game/TrailPack/Particles/Niagara/Soul/Hit","NS_SoulAura","유형 폴더: Soul/Hit","확인 필요: 이름은 Aura, 폴더는 Hit","영혼의 기운"
"근접/Slash","오라","왜곡","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Distortion_Only","NS_AuraFX_Distortion","이름: NS_AuraFX_Distortion; 테마 폴더: Distortion_Only","","왜곡 기운"
"근접/Slash","오라","음악","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Music","NS_AuraFX_Music","이름: NS_AuraFX_Music; 테마 폴더: Music","","선율 기운"
"근접/Slash","오라","자연","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Nature","NS_AuraFX_Nature","이름: NS_AuraFX_Nature; 테마 폴더: Nature","","숲 기운"
"근접/Slash","오라","화염","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Fire","NS_AuraFX_Fire","이름: NS_AuraFX_Fire; 테마 폴더: Fire","","화염 기운"
"근접/Slash","오라","SF","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Scifi","NS_AuraFX_Scifi","이름: NS_AuraFX_Scifi; 테마 폴더: Scifi","","광자 기운"
"근접/Slash","지면 공격","대지","ParticleSystem","RPGEffects","/Game/RPGEffects/Particles","P_Warrior_Earth_Slam","이름: P_Warrior_Earth_Slam","","대지 강타"
"근접/Slash","지면 공격","대지","ParticleSystem","RPGEffects","/Game/RPGEffects/Particles","P_Warrior_EarthCrack","이름: P_Warrior_EarthCrack","","대지의 균열"
"근접/Slash","지면 공격","대지","NiagaraSystem","RPGEffects","/Game/RPGEffects/ParticlesNiagara/Warrior/EarthCrack","NS_Warrior_EarthCrack","이름: NS_Warrior_EarthCrack","","대지의 균열"
"근접/Slash","지면 공격","대지","NiagaraSystem","RPGEffects","/Game/RPGEffects/ParticlesNiagara/Warrior/EarthSlam","NS_Warrior_EarthSlam","이름: NS_Warrior_EarthSlam","","대지 강타"
"근접/Slash","지면 Slash","미지정","NiagaraSystem","Hack_And_Slash_FX","/Game/Hack_And_Slash_FX/VFX_Niagara/Slashes","NS_Claws_Floor","이름: NS_Claws_Floor","","지면의 발톱 자국"
"근접/Slash","피격","기본","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Basic","NS_Hit_Basic","이름: NS_Hit_Basic; 테마 폴더: Basic","","격돌"
"근접/Slash","피격","기본","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Basic","NS_Hit_Basic_Once","이름: NS_Hit_Basic_Once; 테마 폴더: Basic","","순간의 격돌"
"근접/Slash","피격","라이트세이버","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/LightSaber","NS_Hit_LightSaber","이름: NS_Hit_LightSaber; 테마 폴더: LightSaber","","광휘 격돌"
"근접/Slash","피격","라이트세이버","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/LightSaber","NS_Hit_LightSaber_Once","이름: NS_Hit_LightSaber_Once; 테마 폴더: LightSaber","","순간의 광휘 격돌"
"근접/Slash","피격","마법","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Magic/Hit","P_MagicHitFinisher","유형 폴더: Magic/Hit","","마력의 종결타"
"근접/Slash","피격","마법","ParticleSystem","TrailPack","/Game/TrailPack/Particles/Cascade/Magic/Hit","P_MagicHitSoft","유형 폴더: Magic/Hit","","마력의 타격"
"근접/Slash","피격","매트릭스","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Matrix","NS_Hit_Matrix","이름: NS_Hit_Matrix; 테마 폴더: Matrix","","문자 격돌"
"근접/Slash","피격","매트릭스","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Matrix","NS_Hit_Matrix_Once","이름: NS_Hit_Matrix_Once; 테마 폴더: Matrix","","순간의 문자 격돌"
"근접/Slash","피격","모래","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Sand","NS_Hit_Sand","이름: NS_Hit_Sand; 테마 폴더: Sand","","모래 격돌"
"근접/Slash","피격","모래","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Sand","NS_Hit_Sand_Once","이름: NS_Hit_Sand_Once; 테마 폴더: Sand","","순간의 모래 격돌"
"근접/Slash","피격","물","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Water","NS_Hit_water","이름: NS_Hit_water; 테마 폴더: Water","","물결 격돌"
"근접/Slash","피격","물","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Water","NS_Hit_water_Once","이름: NS_Hit_water_Once; 테마 폴더: Water","","순간의 물결 격돌"
"근접/Slash","피격","미지정","NiagaraSystem","Hack_And_Slash_FX","/Game/Hack_And_Slash_FX/VFX_Niagara/Impacts","NS_Claws_Impact","이름: NS_Claws_Impact","","발톱의 격돌"
"근접/Slash","피격","미지정","ParticleSystem","RPGEffects","/Game/RPGEffects/Particles","P_Warrior_ChainHit","이름: P_Warrior_ChainHit","","연격의 충돌"
"근접/Slash","피격","미지정","ParticleSystem","RPGEffects","/Game/RPGEffects/Particles","P_Warrior_HeavyImpact","이름: P_Warrior_HeavyImpact","","강타의 충격"
"근접/Slash","피격","미지정","NiagaraSystem","RPGEffects","/Game/RPGEffects/ParticlesNiagara/Warrior/ChainHit","NS_Warrior_ChainHit","이름: NS_Warrior_ChainHit","","연격의 충돌"
"근접/Slash","피격","미지정","NiagaraSystem","RPGEffects","/Game/RPGEffects/ParticlesNiagara/Warrior/HeavyImpact","NS_Warrior_HeavyImpact","이름: NS_Warrior_HeavyImpact","","강타의 충격"
"근접/Slash","피격","바람","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Wind","NS_Hit_Wind","이름: NS_Hit_Wind; 테마 폴더: Wind","","바람 격돌"
"근접/Slash","피격","바람","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Wind","NS_Hit_Wind_Once","이름: NS_Hit_Wind_Once; 테마 폴더: Wind","","순간의 바람 격돌"
"근접/Slash","피격","번개","NiagaraSystem","Hack_And_Slash_FX","/Game/Hack_And_Slash_FX/VFX_Niagara/Impacts","NS_Lightning_Slash_Impact","이름: NS_Lightning_Slash_Impact","","뇌전 베기의 격돌"
"근접/Slash","피격","번개","NiagaraSystem","SlashTrail_SoftTofu","/Game/SlashTrail_SoftTofu/Niagara/Lightning","NS_Hit_Lightning","이름: NS_Hit_Lightning; 테마 폴더: Lightning","","뇌전 격돌"
